Rank,Card,metric
1,Rebuild,25.800887854890465
2,Chapel,16.934039414618102
3,JackOfAllTrades,16.902519227970384
4,Governor,16.836480975008257
5,Cultist,16.62402561642617
6,Masquerade,16.598802184089656
7,Wharf,16.584567740754924
8,University,16.130393927739497
9,Ill-Gotten Gains,15.792083130959846
10,Minion,15.217948877970688
11,Goons,14.25255218365352
12,Fishing Village,13.790295371093155
13,Fool's Gold,13.402865269801655
14,Fairgrounds,13.138534785067316
15,Ambassador,13.132035205285051
16,Mountebank,12.624380854055357
17,Tournament,12.235462930643838
18,Prince,12.019281205640677
19,Steward,11.969468971219879
20,Forager,11.905829724576051
21,Sea Hag,11.852956692314436
22,Border Village,11.767583328832654
23,Torturer,11.663090174429563
24,Remake,11.523415668814566
25,King's Court,11.48679896909347
26,Scrying Pool,11.447936335757884
27,Urchin,11.353881079542685
28,Wandering Minstrel,11.205577523983202
29,Walled Village,11.202205452719667
30,Hunting Party,11.15028323373013
31,Plaza,11.00336774878975
32,Gardens,10.853278768354702
33,Swindler,10.70600550758558
34,Tunnel,10.462982091426788
35,Fortress,10.409035556707284
36,Black Market,10.264421449028859
37,City,10.248559862407728
38,Worker's Village,10.214672476753574
39,Witch,10.190462224799878
40,Highway,10.059733328535998
41,Familiar,9.97762702930807
42,Vineyard,9.88122405046836
43,Baker,9.850557076882335
44,Festival,9.607943927886252
45,Ironmonger,9.594266963934523
46,Bazaar,9.406930833277585
47,Village,9.380152640433447
48,Soothsayer,9.376234522895409
49,Marauder,9.326065925910768
50,Bridge,9.305357036553959
51,Squire,9.08259815875215
52,Margrave,9.054442404679634
53,Hamlet,8.98543910254499
54,Young Witch,8.930611741336376
55,Herald,8.878604362956366
56,Grand Market,8.872617209103367
57,Embassy,8.761833394228908
58,Bandit Camp,8.754142608500851
59,Farming Village,8.744752071039919
60,Upgrade,8.54805056418256
61,Colony,8.46957955866176
62,Platinum,8.46957955866176
63,Duke,8.447757862286451
64,Conspirator,8.295443379183359
65,Junk Dealer,8.289982278604551
66,Butcher,8.27013088145378
67,Caravan,8.24464134075971
68,Market Square,8.239725988352482
69,Mining Village,8.217920022324465
70,Lighthouse,8.211964352900637
71,Bishop,8.089923950114702
72,Laboratory,7.990434715452031
73,Salvager,7.850226795228162
74,Native Village,7.832379447261677
75,Knights,7.801385601071711
76,Apprentice,7.761267922804942
77,Envoy,7.747275439943978
78,Horn of Plenty,7.732036324589911
79,Stash,7.690132780080665
80,Hermit,7.684273925798732
81,Stables,7.621812582200796
82,Trader,7.56434962069535
83,Quarry,7.523991657054838
84,Crossroads,7.469296741473764
85,Alchemist,7.400350600888258
86,Tactician,7.390066323578745
87,Peddler,7.374534737173741
88,Monument,7.369820599275715
89,Menagerie,7.284390107796035
90,Ruins,7.255159489506435
91,Haggler,7.083896061123044
92,Count,7.036407444052722
93,Candlestick Maker,6.996424221944993
94,Ironworks,6.963937258560589
95,Merchant Guild,6.914021870485287
96,Embargo,6.853193227567735
97,Golem,6.850279781797035
98,Throne Room,6.824849703361165
99,Procession,6.754772171895353
100,Apothecary,6.7127656198576995
101,Altar,6.665276725065465
102,Spice Merchant,6.650354524269744
103,Militia,6.639352389260788
104,Counterfeit,6.5982165765906
105,Ghost Ship,6.591300170647473
106,Feodum,6.581812392720405
107,Market,6.516631174215328
108,Horse Traders,6.413219222736084
109,Warehouse,6.395199600271554
110,Rabble,6.313876572784297
111,Shanty Town,6.28608122898353
112,Doctor,6.268906414472623
113,Jester,6.255911625093875
114,Watchtower,6.231474603917993
115,Nobles,6.203242453547503
116,Courtyard,6.197864627766295
117,Moneylender,6.170423425682003
118,Inn,6.131824749337774
119,Vault,6.11012137514214
120,Lookout,6.064770407611614
121,Silk Road,5.994502801783121
122,Hoard,5.913443414959797
123,Smugglers,5.904979133750507
124,Vagrant,5.9048736732862235
125,Trading Post,5.8869104693620455
126,Possession,5.883134639046381
127,Island,5.789721909254871
128,Haven,5.739284673846221
129,Forge,5.732956481619905
130,Beggar,5.724009500970434
131,Journeyman,5.689428714290843
132,Masterpiece,5.59476146785606
133,Remodel,5.576623876830078
134,Stonemason,5.523884707841129
135,Cellar,5.5162112492654956
136,Smithy,5.499703213035555
137,Workshop,5.381117726568563
138,Feast,5.354374045881226
139,Storeroom,5.245432881283225
140,Pawn,5.242662689137849
141,Catacombs,5.228079507323611
142,Scheme,5.209732998718955
143,Nomad Camp,5.187704138814917
144,Rats,5.184659237209576
145,Expand,5.1796726759378435
146,Library,5.176960170357922
147,Armory,5.1636923636693215
148,Venture,5.060854907483452
149,Trade Route,5.051272441801684
150,Baron,5.024210639194233
151,Treasury,5.020368833055201
152,Hunting Grounds,5.018234288677599
153,Sage,4.9728844050091405
154,Advisor,4.947072020061615
155,Scavenger,4.904608453465821
156,Council Room,4.896181831144456
157,Wishing Well,4.884978701127247
158,Moat,4.8801899635707855
159,Develop,4.853038363026442
160,Oasis,4.817155971934579
161,Woodcutter,4.803403732396156
162,Pirate Ship,4.761303797079304
163,Adventurer,4.751201600850634
164,Cutpurse,4.74637088017088
165,Great Hall,4.715409957474385
166,Talisman,4.714747748457195
167,Taxman,4.666359316229522
168,Bureaucrat,4.633472539409213
169,Secret Chamber,4.600955725322528
170,Herbalist,4.598049875118204
171,Cache,4.59628049746727
172,Loan,4.559455874008343
173,Mystic,4.552225531233361
174,Band of Misfits,4.550953890687701
175,Mint,4.541123787290948
176,Transmute,4.5403364301763185
177,Thief,4.476764130569459
178,Harem,4.4671186960259135
179,Farmland,4.460210472217971
180,Philosopher's Stone,4.438731199255296
181,Mine,4.427997430038848
182,Bank,4.413854094786867
183,Harvest,4.395589907778192
184,Chancellor,4.372997759217498
185,Cartographer,4.359042806358216
186,Oracle,4.350579758716152
187,Rogue,4.347748079559107
188,Pearl Diver,4.337136956435318
189,Noble Brigand,4.33680081971448
190,Duchess,4.332566728186927
191,Contraband,4.295566480080469
192,Spy,4.2925429784708395
193,Outpost,4.284610672288463
194,Saboteur,4.27164883362394
195,Royal Seal,4.225987659731668
196,Navigator,4.223051598497056
197,Tribute,4.1904025242375935
198,Treasure Map,4.18089807328288
199,Death Cart,4.142027884705554
200,Scout,4.125482635695733
201,Counting House,4.086193222278396
202,Poor House,4.073718712931682
203,Mandarin,4.038028009981501
204,Fortune Teller,3.9744321050010454
205,Merchant Ship,3.956460777716292
206,Coppersmith,3.9474872048073113
207,Pillage,3.9425995180844806
208,Graverobber,3.885999387054953
209,Explorer,3.8658470841743213
210,Potion,3.1956604994850313
211,Copper,0.0
212,Duchy,0.0
213,Silver,0.0
214,Gold,0.0
215,Curse,0.0
216,Province,0.0
217,Estate,0.0
