Rank,Card,metric
1,Tournament,0.8367077464788732
2,Governor,0.7985989492119089
3,Border Village,0.7917993027133545
4,Forager,0.7897751682657883
5,Fishing Village,0.7881269933314005
6,Chapel,0.7805134189031505
7,Goons,0.7743798118049615
8,Wharf,0.7730211176555093
9,Ironmonger,0.7661151079136691
10,Masquerade,0.7645806726266496
11,Mountebank,0.7590149516270889
12,Squire,0.7436937601416138
13,Hamlet,0.7412820141802923
14,Ambassador,0.7375745526838966
15,Plaza,0.7311569851176188
16,Silver,0.7266265582887093
17,Warehouse,0.7250532292405961
18,Hunting Party,0.7246322983212005
19,Market Square,0.7230633544024695
20,Swindler,0.7193770169776905
21,Black Market,0.7181406685236769
22,Minion,0.7161016949152542
23,King's Court,0.7153610055539316
24,Candlestick Maker,0.7130228887134964
25,Caravan,0.7126462313046054
26,Crossroads,0.7111636148848198
27,Wandering Minstrel,0.7107257359370446
28,Nobles,0.7082197676086645
29,Urchin,0.7049913444893249
30,Cultist,0.7033274440518257
31,Province,0.7013277010930244
32,Menagerie,0.6959597432905484
33,Worker's Village,0.693505923650724
34,Counterfeit,0.691304347826087
35,Steward,0.6907347341700747
36,Rebuild,0.6899077193496411
37,Hermit,0.6887945914844649
38,City,0.6885210967466969
39,Scheme,0.6848229583095374
40,Witch,0.6836154776299879
41,Remake,0.6817906377821542
42,Grand Market,0.6769478248706112
43,Shanty Town,0.6749964704221375
44,Upgrade,0.671343113516593
45,Lighthouse,0.6665707296013815
46,Spice Merchant,0.6642379182156134
47,Knights,0.6618892024357641
48,Herald,0.6591054825264507
49,Island,0.6549030951692218
50,Tunnel,0.6543005330644
51,Peddler,0.6531213191990577
52,Junk Dealer,0.6509028374892519
53,Butcher,0.6486154350319515
54,Festival,0.6462837017245567
55,JackOfAllTrades,0.6412666281087334
56,Laboratory,0.6408668730650154
57,Stables,0.6404844792573252
58,Great Hall,0.6394525398338554
59,Highway,0.6356702845409211
60,Throne Room,0.6343392552932587
61,Fool's Gold,0.6328666281755196
62,Margrave,0.6286468259785956
63,Salvager,0.626676279740447
64,Baker,0.6232986389111289
65,Marauder,0.6221992924528302
66,Cellar,0.6207119360902256
67,Conspirator,0.618840579710145
68,Soothsayer,0.6186481690595257
69,Village,0.6178804026050918
70,Courtyard,0.6173469387755102
71,Fortress,0.6160949868073878
72,Oasis,0.6099970725995316
73,Scrying Pool,0.6091686674669868
74,Apprentice,0.6087737685282227
75,Colony,0.6084593572778828
76,Haggler,0.607206142941524
77,Bandit Camp,0.6063769350944468
78,University,0.606156631960163
79,Farming Village,0.6023197399527187
80,Bazaar,0.6006194180351484
81,Mining Village,0.600471630698871
82,Vagrant,0.5987846240814019
83,Bridge,0.5954428202923474
84,Haven,0.593882318586655
85,Sea Hag,0.5927850139031172
86,Militia,0.592081255321737
87,Tactician,0.5876749891759273
88,Monument,0.5846859562455893
89,Pawn,0.5819815870232354
90,Market,0.578158844765343
91,Stonemason,0.5774473358116481
92,Bishop,0.5749533782814518
93,Familiar,0.5700526711813394
94,Horse Traders,0.5679837303893085
95,Torturer,0.5595429910648894
96,Native Village,0.5545653761869979
97,Inn,0.5545267489711934
98,Sage,0.5530706169998562
99,Ill-Gotten Gains,0.5510916381999109
100,Altar,0.5502173913043479
101,Ironworks,0.5469741853575962
102,Count,0.5427109595135696
103,Gardens,0.5403021148036253
104,Duchy,0.5388105448054673
105,Watchtower,0.5376443747326394
106,Hoard,0.5337210912615982
107,Ghost Ship,0.5327385341395074
108,Ruins,0.5306057333595131
109,Gold,0.5292634707969762
110,Alchemist,0.5281254712713015
111,Lookout,0.5229205708519533
112,Walled Village,0.521875
113,Quarry,0.5218142548596112
114,Trade Route,0.5176220806794055
115,Remodel,0.5119303268909569
116,Moneylender,0.5099499523355576
117,Platinum,0.5025697069943289
118,Farmland,0.5022723940771148
119,Jester,0.49702380952380953
120,Doctor,0.4954875100725222
121,Young Witch,0.49113263785394934
