Rank,Card,metric
1,Ill-Gotten Gains,11.83608239622735
2,Rebuild,11.754391276979693
3,Cultist,11.517385737370693
4,Governor,11.509131168106055
5,Mountebank,11.335032056498218
6,Goons,10.735399147569744
7,Ambassador,9.966133256069158
8,University,9.509692000180053
9,Tournament,8.702578315330856
10,Minion,8.684413565443535
11,Fool's Gold,8.667396444713482
12,JackOfAllTrades,8.60446543980413
13,Fishing Village,8.36361021313918
14,Scrying Pool,8.28887480184665
15,Soothsayer,7.9324363827825985
16,Colony,7.865144420352584
17,Platinum,7.865144420352584
18,Tunnel,7.860499086537505
19,Market Square,7.466749287930842
20,Wharf,7.356469038101036
21,Gardens,7.3026563058135485
22,Familiar,7.282739059477398
23,Torturer,7.089772438103827
24,Witch,7.000472545467521
25,Sea Hag,6.947633260621196
26,Peddler,6.864004450648807
27,Border Village,6.831002119359805
28,Highway,6.6501924080213035
29,City,6.615059115185145
30,Hunting Party,6.524631658317936
31,Masquerade,6.427746085815816
32,Duke,6.39771010535884
33,Trader,6.362735968500189
34,Squire,6.361168858387112
35,King's Court,6.252555993726025
36,Marauder,6.234307210385674
37,Vineyard,6.226013388671784
38,Worker's Village,6.154167897263738
39,Plaza,6.128807900665148
40,Ironmonger,6.114714828116311
41,Lighthouse,6.055936185843418
42,Grand Market,6.051836027951589
43,Hamlet,6.044140976271499
44,Wandering Minstrel,5.938019548714475
45,Chapel,5.904400235422964
46,Feodum,5.891316573381809
47,Swindler,5.868361078002161
48,Alchemist,5.806959922830815
49,Herald,5.785491973574453
50,Baker,5.773999434008513
51,Ruins,5.713479176644397
52,Knights,5.713202119307384
53,Bridge,5.685071422007569
54,Conspirator,5.643046120788151
55,Fortress,5.591219864397613
56,Forager,5.475750146498613
57,Caravan,5.373234827863106
58,Urchin,5.1109043073311895
59,Steward,5.0836855201927165
60,Festival,5.036372699247654
61,Upgrade,5.021650980197153
62,Nobles,4.996454683715129
63,Menagerie,4.993030455413936
64,Hoard,4.9823872747896
65,Black Market,4.96156143072114
66,Village,4.938723810859576
67,Hermit,4.909562729599941
68,Ironworks,4.883201859786185
69,Candlestick Maker,4.745205593971422
70,Laboratory,4.717933804769406
71,Remake,4.6836188226204625
72,Bandit Camp,4.5557261048226785
73,Apprentice,4.462960486392314
74,Bazaar,4.426857963733369
75,Mining Village,4.359384009172967
76,Native Village,4.302996706405638
77,Rats,4.256076294377775
78,Walled Village,4.25414604221323
79,Farming Village,4.2420538050084104
80,Young Witch,4.240371494815801
81,Junk Dealer,4.194421536766226
82,Apothecary,4.184249451427953
83,Stables,4.149175093154131
84,Margrave,4.147622153261363
85,Prince,4.146748179711257
86,Warehouse,4.1198065285216945
87,Quarry,4.115248122116593
88,Shanty Town,4.0991428087156
89,Scheme,4.056826282903799
90,Embassy,4.034883372439312
91,Beggar,3.9607063157326277
92,Bishop,3.9519332175923427
93,Merchant Guild,3.9510637132926743
94,Throne Room,3.903359454958516
95,Butcher,3.861158299194079
96,Stonemason,3.855396065968443
97,Watchtower,3.831969696248665
98,Great Hall,3.822295559808544
99,Crossroads,3.8119631604944275
100,Trading Post,3.7889463851163745
101,Oasis,3.7851502382019073
102,Masterpiece,3.739889313458117
103,Silk Road,3.6961077739019306
104,Island,3.671695390404067
105,Jester,3.670751085571227
106,Market,3.583231631752179
107,Salvager,3.5682081544753723
108,Monument,3.551738130515358
109,Haggler,3.505035041887962
110,Count,3.490039645938249
111,Altar,3.4305035822517884
112,Possession,3.3700570740068367
113,Vagrant,3.3257626725899794
114,Courtyard,3.315047129388093
115,Pawn,3.2834003921862567
116,Haven,3.201899422552051
117,Ghost Ship,3.198970120139641
118,Rabble,3.1906470138925815
119,Fairgrounds,3.1674524363869447
120,Embargo,3.1354098136814432
121,Wishing Well,3.1293216416514174
122,Advisor,3.121952046648828
123,Tactician,3.1124299675567184
124,Horse Traders,3.0792635928498218
125,Envoy,3.0557709856006268
126,Counterfeit,3.005466654491831
127,Sage,2.99569632930483
128,Remodel,2.955209671787417
129,Cellar,2.951418114131476
